pos,freqA,freqC,freqG,freqT,relWeightA,relWeightC,relWeightG,relWeightT,correctedRelWeightA,correctedRelWeightC,correctedRelWeightG,correctedRelWeightT
1,1,0,0,0,2.0560111805,,,,2.0554336405,,,
2,0,0,0,1,,,,2.0573916639,,,,2.0568141238
3,0,0,1,0,,,1.8706510328,,,,1.8700734927,
4,0.492127035,0.1579930611,0.2006938884,0.1491860155,1.0331138586,-0.6377411005,-0.4462803779,-0.6874241256,1.0325363186,-0.6383186405,-0.4468579179,-0.6880016656
5,0.3666933547,0.287429944,0.1657325861,0.1801441153,0.608657207,0.2256080685,-0.7224197713,-0.4153849065,0.608079667,0.2250305284,-0.7229973114,-0.4159624466
6,0.3287963704,0.192153723,0.162530024,0.3165198826,0.4512774589,-0.3553413698,-0.7505708116,0.3977596961,0.4506999188,-0.3559189098,-0.7511483517,0.3971821561
7,0.4195356285,0.2121697358,0.2260475047,0.142247131,0.8028764204,-0.2123834159,-0.2746510702,-0.7561368757,0.8022988804,-0.212960956,-0.2752286103,-0.7567144157
8,0.4227381906,0.1942887643,0.1278356018,0.2551374433,0.8138475383,-0.3393998259,-1.0969873838,0.0867382095,0.8132699982,-0.3399773659,-1.0975649239,0.0861606695
9,0.3079797171,0.1913530825,0.2132372565,0.287429944,0.3569184268,-0.3613651574,-0.3588175366,0.2586739361,0.3563408868,-0.3619426974,-0.3593950767,0.2580963961
10,0.357886309,0.235922071,0.1942887643,0.2119028556,0.5735844401,-0.0592919067,-0.4930745893,-0.1811334013,0.5730069,-0.0598694468,-0.4936521294,-0.1817109413
11,0.3047771551,0.2185748599,0.1243661596,0.3522818255,0.3418378536,-0.1694748245,-1.1366830849,0.5521936158,0.3412603135,-0.1700523645,-1.1372606249,0.5516160758
12,0.3197224446,0.2188417401,0.1710701895,0.2903656258,0.410903111,-0.1677143666,-0.6766886829,0.2733342428,0.4103255709,-0.1682919066,-0.677266223,0.2727567028
13,0.3490792634,0.226581265,0.2313851081,0.1929543635,0.5376377437,-0.1175737225,-0.2409810463,-0.3162767615,0.5370602036,-0.1181512626,-0.2415585864,-0.3168543015
14,0.3013077128,0.2231118228,0.1257005604,0.3498799039,0.325320689,-0.139835334,-1.1212859799,0.5423233718,0.3247431489,-0.1404128741,-1.12186352,0.5417458317
15,0.2716840139,0.226581265,0.181211636,0.3205230851,0.1760127643,-0.1175737225,-0.5936014653,0.4158918373,0.1754352242,-0.1181512626,-0.5941790053,0.4153142972
16,0.3303976515,0.2564718441,0.2257806245,0.1873498799,0.4582865174,0.0611981547,-0.2763553764,-0.3588013781,0.4577089774,0.0606206146,-0.2769329165,-0.3593789182
17,0.278089138,0.226581265,0.1331732052,0.3621563918,0.2096304805,-0.1175737225,-1.0379732242,0.592076407,0.2090529404,-0.1181512626,-1.0385507643,0.5914988669
