pos,freqA,freqC,freqG,freqT,relWeightA,relWeightC,relWeightG,relWeightT,correctedRelWeightA,correctedRelWeightC,correctedRelWeightG,correctedRelWeightT
1,1,0,0,0,1.9456377116,,,,1.9439575543,,,
2,0,0,0,1,,,,2.1942948152,,,,2.1926146579
3,0,0,1,0,,,1.9285118944,,,,1.9268317371,
4,0.2041925466,0.1358695652,0.5077639752,0.152173913,-0.3463601773,-0.9318433896,0.9507418418,-0.5219122188,-0.3480403345,-0.9335235469,0.9490616845,-0.5235923761
5,0.2833850932,0.4177018634,0.1622670807,0.1366459627,0.1264734872,0.6884078611,-0.6950458516,-0.6771904443,0.1247933299,0.6867277038,-0.6967260089,-0.6788706016
6,0.1754658385,0.2468944099,0.3571428571,0.2204968944,-0.5651002041,-0.0701715462,0.4430850672,0.0131250566,-0.5667803614,-0.0718517034,0.44140491,0.0114448993
7,0.2554347826,0.2142857143,0.3703416149,0.1599378882,-0.0233353928,-0.2745300447,0.4954404723,-0.4501215358,-0.0250155501,-0.2762102019,0.493760315,-0.451801693
8,0.2748447205,0.3183229814,0.2127329193,0.1940993789,0.0823263835,0.2964255981,-0.3043729007,-0.1708377783,0.0806462263,0.2947454408,-0.306053058,-0.1725179356
9,0.200310559,0.2973602484,0.3159937888,0.1863354037,-0.3740519111,0.1981460805,0.2664800006,-0.2297314673,-0.3757320684,0.1964659232,0.2647998433,-0.2314116246
10,0.248447205,0.2461180124,0.3338509317,0.1715838509,-0.0633510717,-0.0747154713,0.3457878659,-0.3487195036,-0.0650312289,-0.0763956286,0.3441077086,-0.3503996608
11,0.2655279503,0.2802795031,0.2150621118,0.2391304348,0.0325733483,0.1128005254,-0.2886628176,0.1301644777,0.0308931911,0.1111203682,-0.2903429749,0.1284843205
12,0.2119565217,0.2895962733,0.3043478261,0.1940993789,-0.2925220256,0.1599773188,0.2123048604,-0.1708377783,-0.2942021829,0.1582971615,0.2106247031,-0.1725179356
13,0.2670807453,0.2290372671,0.3462732919,0.1576086957,0.0409855881,-0.1784833572,0.3984949162,-0.4712861458,0.0393054309,-0.1801635145,0.396814759,-0.472966303
14,0.2670807453,0.2468944099,0.2538819876,0.2321428571,0.0409855881,-0.0701715462,-0.0492581582,0.0873796112,0.0393054309,-0.0718517034,-0.0509383155,0.085699454
15,0.1723602484,0.2841614907,0.3532608696,0.1902173913,-0.5908633002,0.1326453368,0.4273177514,-0.199984124,-0.5925434575,0.1309651796,0.4256375941,-0.2016642812
16,0.2375776398,0.2546583851,0.3462732919,0.1614906832,-0.1278913239,-0.0255024968,0.3984949162,-0.4361823448,-0.1295714811,-0.0271826541,0.396814759,-0.4378625021
17,0.3004658385,0.2701863354,0.2329192547,0.1964285714,0.2109105896,0.0598889944,-0.1735862932,-0.1536284883,0.2092304323,0.0582088371,-0.1752664505,-0.1553086455
18,0.1894409938,0.3035714286,0.3198757764,0.1871118012,-0.454541829,0.2279702959,0.2840955435,-0.2237327267,-0.4562219863,0.2262901386,0.2824153862,-0.225412884
19,0.25,0.2686335404,0.3152173913,0.1661490683,-0.0543622884,0.0515737262,0.2629309335,-0.3951550766,-0.0560424457,0.0498935689,0.2612507762,-0.3968352338
