pos,freqA,freqC,freqG,freqT,relWeightA,relWeightC,relWeightG,relWeightT,correctedRelWeightA,correctedRelWeightC,correctedRelWeightG,correctedRelWeightT
1,1,0,0,0,1.9456377116,,,,1.9439174869,,,
2,0,0,0,1,,,,2.1942948152,,,,2.1925745905
3,0,0,1,0,,,1.9285118944,,,,1.9267916698,
4,0.2011128776,0.1653418124,0.4976152623,0.1359300477,-0.3682849206,-0.6486141121,0.9216145345,-0.6847688768,-0.3700051452,-0.6503343367,0.9198943099,-0.6864891014
5,0.2456279809,0.4125596184,0.1796502385,0.1621621622,-0.0798154674,0.6705368981,-0.54822535,-0.4301960497,-0.081535692,0.6688166735,-0.5499455747,-0.4319162744
6,0.1057233704,0.2877583466,0.4554848967,0.1510333863,-1.2959960598,0.1507920569,0.7939870163,-0.5327657834,-1.2977162844,0.1490718323,0.7922667917,-0.534486008
7,0.1963434022,0.2853736089,0.3942766296,0.1240063593,-0.4029112637,0.1387862036,0.5857919979,-0.8172191729,-0.4046314884,0.137065979,0.5840717733,-0.8189393975
8,0.2344992051,0.3314785374,0.2416534181,0.1923688394,-0.1467073511,0.3548497432,-0.120476799,-0.1837581544,-0.1484275757,0.3531295186,-0.1221970236,-0.1854783791
9,0.113672496,0.353736089,0.406200318,0.126391097,-1.1914071586,0.4486076956,0.6287751685,-0.7897384364,-1.1931273832,0.446887471,0.6270549439,-0.791458661
10,0.2066772655,0.2853736089,0.3314785374,0.1764705882,-0.3289106823,0.1387862036,0.335499261,-0.3082055254,-0.3306309069,0.137065979,0.3337790364,-0.30992575
11,0.247217806,0.2965023847,0.2225755167,0.2337042925,-0.0705077252,0.19397799,-0.2391212955,0.0970509531,-0.0722279498,0.1922577654,-0.2408415201,0.0953307285
12,0.1375198728,0.3330683625,0.393481717,0.1359300477,-0.9166502677,0.3617526035,0.5828804025,-0.6847688768,-0.9183704923,0.3600323789,0.5811601779,-0.6864891014
13,0.213036566,0.2710651828,0.3720190779,0.1438791733,-0.2851893049,0.0645740988,0.5019604071,-0.6027755046,-0.2869095295,0.0628538742,0.5002401825,-0.6044957292
14,0.2551669316,0.2631160572,0.2456279809,0.2360890302,-0.0248490082,0.0216335766,-0.0969412846,0.1116977291,-0.0265692328,0.019913352,-0.0986615092,0.1099775045
15,0.1406995231,0.2941176471,0.4379968203,0.1271860095,-0.8836729452,0.1823276303,0.7375041961,-0.7806932968,-0.8853931699,0.1806074057,0.7357839715,-0.7824135214
16,0.2154213037,0.2877583466,0.3441971383,0.1526232114,-0.269129454,0.1507920569,0.3898189023,-0.517658891,-0.2708496786,0.1490718323,0.3880986777,-0.5193791156
17,0.2456279809,0.2583465819,0.2496025437,0.2464228935,-0.0798154674,-0.0047579223,-0.0737835636,0.1735030136,-0.081535692,-0.0064781469,-0.0755037882,0.1717827889
18,0.1240063593,0.3386327504,0.3990461049,0.1383147854,-1.0658762765,0.38565579,0.6031392415,-0.6596778959,-1.0675965011,0.3839355654,0.6014190169,-0.6613981205
19,0.2098569157,0.3060413355,0.3282988871,0.1558028617,-0.306884376,0.2396608054,0.321593659,-0.4879115476,-0.3086046006,0.2379405808,0.3198734343,-0.4896317722
20,0.2384737679,0.2647058824,0.2519872814,0.2448330684,-0.1224598048,0.0303245369,-0.0600652823,0.164165149,-0.1241800294,0.0286043122,-0.0617855069,0.1624449244
21,0.126391097,0.3616852146,0.3855325914,0.126391097,-1.03839554,0.4806689049,0.5534366246,-0.7897384364,-1.0401157647,0.4789486803,0.5517164,-0.791458661
22,0.1963434022,0.306836248,0.3497615262,0.1470588235,-0.4029112637,0.2434032071,0.4129554011,-0.5712399312,-0.4046314884,0.2416829824,0.4112351764,-0.5729601558
23,0.2225755167,0.2774244833,0.2551669316,0.2448330684,-0.2219954784,0.098029396,-0.0419748253,0.164165149,-0.223715703,0.0963091714,-0.04369505,0.1624449244
24,0.1128775835,0.3585055644,0.3903020668,0.1383147854,-1.2015313758,0.467929793,0.5711749019,-0.6596778959,-1.2032516004,0.4662095684,0.5694546772,-0.6613981205
25,0.2058823529,0.3100158983,0.3481717011,0.1359300477,-0.3344702076,0.2582764835,0.4063827471,-0.6847688768,-0.3361904323,0.2565562589,0.4046625225,-0.6864891014
26,0.2257551669,0.2583465819,0.2416534181,0.2742448331,-0.2015313758,-0.0047579223,-0.120476799,0.3278311599,-0.2032516004,-0.0064781469,-0.1221970236,0.3261109353
27,0.1033386328,0.3561208267,0.3974562798,0.1430842607,-1.3289106823,0.4583010918,0.5973799722,-0.6107682954,-1.3306309069,0.4565808672,0.5956597476,-0.61248852
28,0.1915739269,0.3020667727,0.3378378378,0.1685214626,-0.4383891591,0.2208017781,0.3629147186,-0.3747009372,-0.4401093837,0.2190815535,0.361194494,-0.3764211618
29,0.2257551669,0.2806041335,0.2289348172,0.2647058824,-0.2015313758,0.1144705431,-0.198479311,0.2767569754,-0.2032516004,0.1127503184,-0.2001995356,0.2750367507
30,0.1104928458,0.3593004769,0.4101748808,0.1200317965,-1.2323374226,0.4711251322,0.642822943,-0.8642166524,-1.2340576472,0.4694049076,0.6411027183,-0.865936877
31,0.2034976153,0.3052464229,0.3290937997,0.1621621622,-0.3512784953,0.2359086705,0.325082645,-0.4301960497,-0.3529987199,0.2341884459,0.3233624204,-0.4319162744
32,0.240063593,0.2607313196,0.2511923688,0.2480127186,-0.112873756,0.0084981744,-0.0646235643,0.1827808271,-0.1145939806,0.0067779498,-0.0663437889,0.1810606025
33,0.1120826709,0.3529411765,0.4014308426,0.13354531,-1.2117271429,0.4453620361,0.6117352652,-0.7103039689,-1.2134473675,0.4436418115,0.6100150406,-0.7120241936
34,0.180445151,0.3243243243,0.353736089,0.1414944356,-0.524730008,0.3233715118,0.4292572134,-0.6268879608,-0.5264502326,0.3216512871,0.4275369888,-0.6286081854
35,0.2344992051,0.2694753577,0.2392686804,0.2567567568,-0.1467073511,0.0560876329,-0.1347846357,0.232768963,-0.1484275757,0.0543674083,-0.1365048603,0.2310487384
