pos,freqA,freqC,freqG,freqT,relWeightA,relWeightC,relWeightG,relWeightT,correctedRelWeightA,correctedRelWeightC,correctedRelWeightG,correctedRelWeightT
1,1,0,0,0,1.9456377116,,,,1.9439575543,,,
2,0,0,0,1,,,,2.1942948152,,,,2.1926146579
3,0,0,1,0,,,1.9285118944,,,,1.9268317371,
4,0.2080745342,0.1444099379,0.4906832298,0.1568322981,-0.3191899761,-0.8438956903,0.9013757645,-0.4784105802,-0.3208701334,-0.8455758476,0.8996956072,-0.4800907375
5,0.2795031056,0.4177018634,0.1630434783,0.1397515528,0.1065739298,0.6884078611,-0.688159466,-0.6447689666,0.1048937725,0.6867277038,-0.6898396233,-0.6464491239
6,0.176242236,0.2352484472,0.3656832298,0.222826087,-0.5587306793,-0.139880518,0.4771782659,0.0282848637,-0.5604108365,-0.1415606752,0.4754981086,0.0266047065
7,0.2453416149,0.2220496894,0.3687888199,0.1638198758,-0.0814984184,-0.2231831647,0.4893787195,-0.4155228742,-0.0831785757,-0.2248633219,0.4876985623,-0.4172030315
8,0.2810559006,0.3105590062,0.2041925466,0.2041925466,0.1145667205,0.2608016883,-0.3634859944,-0.0977030737,0.1128865633,0.2591215311,-0.3651661517,-0.0993832309
9,0.1956521739,0.2888198758,0.323757764,0.1917701863,-0.4079992431,0.1561043097,0.3014985897,-0.1882548314,-0.4096794003,0.1544241524,0.2998184325,-0.1899349886
10,0.2523291925,0.25,0.323757764,0.1739130435,-0.0409832586,-0.0521376233,0.3014985897,-0.3292671409,-0.0426634159,-0.0538177806,0.2998184325,-0.3309472982
11,0.2663043478,0.2826086957,0.2181677019,0.2329192547,0.0367855996,0.1247401387,-0.2679786635,0.0921966275,0.0351054423,0.1230599815,-0.2696588207,0.0905164703
12,0.2158385093,0.2810559006,0.3082298137,0.1948757764,-0.2663380938,0.1167913856,0.2305902134,-0.165078509,-0.2680182511,0.1151112284,0.2289100562,-0.1667586663
13,0.2663043478,0.2468944099,0.3377329193,0.149068323,0.0367855996,-0.0701715462,0.362466607,-0.5516595622,0.0351054423,-0.0718517034,0.3607864498,-0.5533397195
14,0.2694099379,0.2414596273,0.2577639752,0.2313664596,0.053512686,-0.1022837313,-0.0273655524,0.0825464575,0.0518325287,-0.1039638886,-0.0290457096,0.0808663002
15,0.1723602484,0.2833850932,0.350931677,0.1933229814,-0.5908633002,0.1286981523,0.4177739787,-0.1766201309,-0.5925434575,0.127017995,0.4160938214,-0.1783002882
16,0.2383540373,0.2546583851,0.3486024845,0.1583850932,-0.1231843212,-0.0255024968,0.408166651,-0.464196721,-0.1248644785,-0.0271826541,0.4064864938,-0.4658768782
17,0.2872670807,0.2709627329,0.2422360248,0.1995341615,0.146102294,0.0640287248,-0.1170027648,-0.1309975138,0.1444221367,0.0623485675,-0.1186829221,-0.132677671
18,0.1894409938,0.301242236,0.3121118012,0.1972049689,-0.454541829,0.2168583407,0.2486467075,-0.1479373762,-0.4562219863,0.2151781835,0.2469665502,-0.1496175334
19,0.251552795,0.2678571429,0.3214285714,0.1591614907,-0.0454291637,0.0473980502,0.2910819738,-0.4571419634,-0.0471093209,0.0457178929,0.2894018165,-0.4588221207
