pos,freqA,freqC,freqG,freqT,relWeightA,relWeightC,relWeightG,relWeightT,correctedRelWeightA,correctedRelWeightC,correctedRelWeightG,correctedRelWeightT
1,1,0,0,0,1.9456377116,,,,1.945204903,,,
2,0,0,0,1,,,,2.1942948152,,,,2.1938620066
3,0,0,1,0,,,1.9285118944,,,,1.9280790859,
4,0.1932,0.15,0.5242,0.1326,-0.4261952892,-0.7891032175,0.9967011532,-0.7205525043,-0.4266280977,-0.789536026,0.9962683447,-0.7209853128
5,0.2592,0.4296,0.1792,0.132,-0.0022246651,0.7289282751,-0.5518455631,-0.7270953501,-0.0026574736,0.7284954666,-0.5522783716,-0.7275281587
6,0.1302,0.2654,0.4082,0.1962,-0.9955609348,0.0341026525,0.6358599819,-0.1553082382,-0.9959937433,0.033669844,0.6354271734,-0.1557410467
7,0.2344,0.244,0.3714,0.1502,-0.1473178136,-0.0871845704,0.4995576148,-0.5407484669,-0.1477506221,-0.0876173789,0.4991248063,-0.5411812754
8,0.2652,0.3288,0.2156,0.1904,0.0307903921,0.3431445808,-0.2850590224,-0.1985998011,0.0303575836,0.3427117723,-0.2854918309,-0.1990326096
9,0.1598,0.3284,0.3512,0.1606,-0.7000229751,0.3413884089,0.4188766444,-0.4441613869,-0.7004557836,0.3409556004,0.4184438359,-0.4445941954
10,0.23,0.2814,0.3354,0.1532,-0.1746565222,0.1185566104,0.3524664884,-0.5122169825,-0.1750893307,0.1181238018,0.3520336799,-0.512649791
11,0.2562,0.3058,0.207,0.231,-0.0190199077,0.2385226885,-0.3437854327,0.0802595719,-0.0194527162,0.23808988,-0.3442182413,0.0798267634
12,0.166,0.312,0.3546,0.1674,-0.6451071418,0.2674803109,0.4327763358,-0.3843337518,-0.6455399503,0.2670475024,0.4323435273,-0.3847665603
13,0.2454,0.2414,0.3652,0.148,-0.0811551343,-0.1026400421,0.4752705649,-0.5620361039,-0.0815879428,-0.1030728506,0.4748377563,-0.5624689124
14,0.261,0.2598,0.2452,0.234,0.0077594235,0.0033357126,-0.0994572214,0.0988752501,0.0073266149,0.0029029041,-0.09989003,0.0984424416
15,0.1654,0.298,0.3806,0.156,-0.6503311488,0.2012466125,0.5348593611,-0.4860872506,-0.6507639573,0.200813804,0.5344265526,-0.4865200592
16,0.2352,0.2702,0.3488,0.1458,-0.1424023232,0.0599619564,0.4089838396,-0.5836425601,-0.1428351317,0.0595291479,0.4085510311,-0.5840753686
17,0.2666,0.2564,0.239,0.238,0.0383863971,-0.0156694563,-0.1364055823,0.1233282938,0.0379535886,-0.0161022648,-0.1368383908,0.1228954853
18,0.165,0.3108,0.36,0.1642,-0.6538243589,0.2619207855,0.4545807061,-0.4121791526,-0.6542571674,0.261487977,0.4541478976,-0.4126119611
19,0.2352,0.2832,0.3282,0.1534,-0.1424023232,0.1277555472,0.3211590384,-0.5103347969,-0.1428351317,0.1273227387,0.3207262299,-0.5107676054
20,0.2624,0.2606,0.2242,0.2528,0.0154773366,0.0077713657,-0.2286299223,0.2103631838,0.0150445281,0.0073385572,-0.2290627308,0.2099303753
21,0.1496,0.3244,0.3612,0.1648,-0.7951802081,0.3237081013,0.4593816923,-0.4069170372,-0.7956130166,0.3232752928,0.4589488838,-0.4073498457
22,0.2296,0.2836,0.3394,0.1474,-0.1771677413,0.1297918144,0.3695703644,-0.5678967553,-0.1776005498,0.1293590058,0.3691375559,-0.5683295638
23,0.2536,0.2678,0.2288,0.2498,-0.0337356379,0.0470902424,-0.1993291484,0.1931401972,-0.0341684464,0.0466574339,-0.1997619569,0.1927073887
24,0.137,0.3134,0.3878,0.1618,-0.9221144902,0.2739394616,0.561896603,-0.433421672,-0.9225472987,0.2735066531,0.5614637945,-0.4338544805
25,0.2264,0.2918,0.326,0.1558,-0.1974164252,0.170914165,0.311455764,-0.4879380463,-0.1978492337,0.1704813565,0.3110229555,-0.4883708548
26,0.245,0.2608,0.2312,0.263,-0.0835086341,0.0088781513,-0.1842748026,0.2674295198,-0.0839414426,0.0084453428,-0.1847076111,0.2669967113
27,0.1358,0.3242,0.3618,0.1782,-0.9348069038,0.3228183726,0.4617762075,-0.2941359429,-0.9352397123,0.3223855641,0.461343399,-0.2945687514
28,0.2206,0.2866,0.341,0.1518,-0.2348575924,0.1449728914,0.3763555388,-0.525461489,-0.2352904009,0.1445400829,0.3759227303,-0.5258942975
29,0.242,0.2572,0.2304,0.2704,-0.1012833358,-0.0111750756,-0.1892754837,0.3074618719,-0.1017161443,-0.0116078841,-0.1897082922,0.3070290634
30,0.1366,0.3328,0.364,0.1666,-0.9263328997,0.3605897153,0.47052225,-0.391244879,-0.9267657082,0.3601569067,0.4700894414,-0.3916776875
31,0.205,0.295,0.3466,0.1534,-0.3406664736,0.1866492363,0.399855454,-0.5103347969,-0.3410992821,0.1862164277,0.3994226455,-0.5107676054
32,0.2462,0.2582,0.2316,0.264,-0.0764596215,-0.0055767176,-0.1817809471,0.2729046499,-0.07689243,-0.0060095261,-0.1822137557,0.2724718413
33,0.146,0.3236,0.3622,0.1682,-0.8303220142,0.3201458895,0.4633703458,-0.3774555741,-0.8307548227,0.319713081,0.4629375373,-0.3778883826
34,0.2152,0.2862,0.3426,0.156,-0.2706123054,0.1429579538,0.383108951,-0.4860872506,-0.271045114,0.1425251453,0.3826761424,-0.4865200592
35,0.2572,0.2504,0.2288,0.2636,-0.0133997407,-0.049831156,-0.1993291484,0.2707170906,-0.0138325492,-0.0502639645,-0.1997619569,0.2702842821
