pos,freqA,freqC,freqG,freqT,relWeightA,relWeightC,relWeightG,relWeightT,correctedRelWeightA,correctedRelWeightC,correctedRelWeightG,correctedRelWeightT
1,1,0,0,0,1.9456377116,,,,1.945204903,,,
2,0,0,0,1,,,,2.1942948152,,,,2.1938620066
3,0,0,1,0,,,1.9285118944,,,,1.9280790859,
4,0.194,0.1462,0.524,0.1358,-0.4202337309,-0.8261224069,0.9961506113,-0.6861498001,-0.4206665394,-0.8265552154,0.9957178028,-0.6865826087
5,0.251,0.4414,0.1752,0.1324,-0.0486030192,0.7680209114,-0.5844134255,-0.7227301576,-0.0490358277,0.7675881029,-0.584846234,-0.7231629661
6,0.1268,0.2748,0.4036,0.1948,-1.0337356379,0.0843162859,0.619509974,-0.1656396023,-1.0341684464,0.0838834774,0.6190771655,-0.1660724108
7,0.2314,0.2504,0.3696,0.1486,-0.1659015189,-0.049831156,0.4925485563,-0.5561991638,-0.1663343274,-0.0502639645,0.4921157478,-0.5566319724
8,0.2646,0.3238,0.2106,0.201,0.0275226783,0.3210372674,-0.3189107641,-0.1204377783,0.0270898698,0.3206044589,-0.3193435726,-0.1208705868
9,0.1596,0.319,0.3538,0.1676,-0.7018297318,0.2994907058,0.4295178476,-0.3826111307,-0.7022625403,0.2990578973,0.429085039,-0.3830439392
10,0.2302,0.2766,0.3286,0.1646,-0.1734025499,0.0937354383,0.3229162798,-0.408668944,-0.1738353584,0.0933026298,0.3224834713,-0.4091017525
11,0.2586,0.2982,0.213,0.2302,-0.0055681082,0.2022145394,-0.30256277,0.0752545537,-0.0060009167,0.2017817309,-0.3029955785,0.0748217452
12,0.167,0.3066,0.3568,0.1696,-0.6364422806,0.2422919788,0.4416994148,-0.3654971098,-0.6368750891,0.2418591703,0.4412666063,-0.3659299183
13,0.2466,0.2404,0.3564,0.1566,-0.0741175836,-0.1086288222,0.4400811364,-0.4805490671,-0.0745503921,-0.1090616307,0.4396483279,-0.4809818756
14,0.2642,0.259,0.2508,0.226,0.0253400832,-0.0011136203,-0.0668788523,0.0486894929,0.0249072747,-0.0015464288,-0.0673116608,0.0482566844
15,0.1654,0.2912,0.3854,0.158,-0.6503311488,0.1679446373,0.5529403712,-0.4677087213,-0.6507639573,0.1675118288,0.5525075626,-0.4681415298
16,0.2356,0.2654,0.352,0.147,-0.1399508442,0.0341026525,0.4221592284,-0.5718171247,-0.1403836527,0.033669844,0.4217264199,-0.5722499332
17,0.2644,0.2644,0.2364,0.2348,0.0264317935,0.0286564586,-0.152186165,0.1037991287,0.025998985,0.0282236501,-0.1526189735,0.1033663202
18,0.1642,0.309,0.3612,0.1656,-0.6608362562,0.2535411199,0.4593816923,-0.3999306069,-0.6612690647,0.2531083114,0.4589488838,-0.4003634154
19,0.2348,0.2768,0.3316,0.1568,-0.1448579749,0.0947782248,0.3360278064,-0.4787077203,-0.1452907834,0.0943454162,0.3355949978,-0.4791405288
20,0.269,0.2598,0.2236,0.2476,0.0513157894,0.0033357126,-0.2324960123,0.1803780348,0.0508829809,0.0029029041,-0.2329288208,0.1799452263
21,0.1566,0.3238,0.3592,0.1604,-0.7292061707,0.3210372674,0.4513711496,-0.4459591379,-0.7296389792,0.3206044589,0.4509383411,-0.4463919464
22,0.2302,0.2798,0.3422,0.1478,-0.1734025499,0.1103302443,0.3814235594,-0.5639870102,-0.1738353584,0.1098974358,0.3809907508,-0.5644198188
23,0.2556,0.2748,0.2244,0.2452,-0.0224025471,0.0843162859,-0.2273435245,0.1663256993,-0.0228353556,0.0838834774,-0.227776333,0.1658928908
24,0.1416,0.307,0.3776,0.1738,-0.8744691179,0.2441729374,0.5234425642,-0.3302051976,-0.8749019264,0.2437401289,0.5230097557,-0.3306380061
25,0.217,0.2898,0.3338,0.1594,-0.2585953407,0.1609918767,0.3455677542,-0.4549816504,-0.2590281492,0.1605590682,0.3451349457,-0.4554144589
26,0.2542,0.2614,0.2254,0.259,-0.030326353,0.0121934229,-0.220928685,0.2453188182,-0.0307591615,0.0117606144,-0.2213614935,0.2448860097
27,0.1436,0.3194,0.357,0.18,-0.8542346342,0.3012985945,0.4425078738,-0.2796363732,-0.8546674427,0.300865786,0.4420750653,-0.2800691817
28,0.221,0.2914,0.3316,0.156,-0.2322440137,0.1689351592,0.3360278064,-0.4860872506,-0.2326768222,0.1685023507,0.3355949978,-0.4865200592
29,0.244,0.2624,0.2194,0.2742,-0.0894092355,0.0177020017,-0.2598526747,0.3275952914,-0.0898420441,0.0172691932,-0.2602854832,0.3271624829
30,0.1442,0.3314,0.3608,0.1636,-0.8482192188,0.3545078843,0.4577831381,-0.4174605314,-0.8486520273,0.3540750758,0.4573503296,-0.41789334
31,0.2122,0.2956,0.3306,0.1616,-0.2908657271,0.1895805513,0.3316705242,-0.4352060816,-0.2912985356,0.1891477427,0.3312377156,-0.4356388901
32,0.2422,0.2636,0.2294,0.2648,-0.1000915183,0.0242846521,-0.1955508091,0.2772698424,-0.1005243268,0.0238518436,-0.1959836176,0.2768370339
33,0.1444,0.3258,0.3608,0.169,-0.8462196411,0.3299208856,0.4577831381,-0.3706100332,-0.8466524496,0.3294880771,0.4573503296,-0.3710428417
34,0.2118,0.2828,0.3448,0.1606,-0.293587794,0.1257164019,0.392343574,-0.4441613869,-0.2940206025,0.1252835934,0.3919107654,-0.4445941954
35,0.2556,0.2542,0.2312,0.259,-0.0224025471,-0.0281016879,-0.1842748026,0.2453188182,-0.0228353556,-0.0285344964,-0.1847076111,0.2448860097
