pos,freqA,freqC,freqG,freqT,relWeightA,relWeightC,relWeightG,relWeightT,correctedRelWeightA,correctedRelWeightC,correctedRelWeightG,correctedRelWeightT
1,0.9174917492,0.00330033,0.0594059406,0.0198019802,1.9317782698,-6.2188481872,-2.2025979492,-3.6008198189,1.9246362151,-6.2259902419,-2.2097400039,-3.6079618735
2,0,0,0,1,,,,2.0573916639,,,,2.0502496092
3,0,0,0.99669967,0.00330033,,,1.8658817886,-6.1857823196,,,1.858739734,-6.1929243742
4,0.4917491749,0.1584158416,0.2244224422,0.1254125413,1.0320057175,-0.6338856865,-0.2850601094,-0.9378548061,1.0248636629,-0.6410277412,-0.2922021641,-0.9449968608
5,0.3432343234,0.3102310231,0.1650165017,0.1815181518,0.5132769152,0.3357406644,-0.7286667609,-0.4044226061,0.5061348605,0.3285986098,-0.7358088156,-0.4115646607
6,0.3234323432,0.198019802,0.1518151815,0.3267326733,0.4275470412,-0.3119575916,-0.8489609946,0.4435743005,0.4204049865,-0.3190996463,-0.8561030493,0.4364322458
7,0.4224422442,0.1716171617,0.2508250825,0.1551155116,0.812837197,-0.5184084691,-0.1245954372,-0.6311934679,0.8056951424,-0.5255505238,-0.1317374919,-0.6383355226
8,0.4158415842,0.2079207921,0.1254125413,0.2508250825,0.7901171205,-0.2415682637,-1.1245954372,0.0621451939,0.7829750659,-0.2487103184,-1.1317374919,0.0550031392
9,0.2772277228,0.198019802,0.1881188119,0.3366336634,0.2051546198,-0.3119575916,-0.5396329365,0.4866430224,0.1980125652,-0.3190996463,-0.5467749912,0.4795009677
10,0.3564356436,0.2343234323,0.204620462,0.204620462,0.5677246992,-0.0691010677,-0.4183266403,-0.2315860092,0.5605826446,-0.0762431224,-0.425468695,-0.2387280639
11,0.3168316832,0.2178217822,0.1485148515,0.3168316832,0.3977996978,-0.1744540679,-0.8806698544,0.3991801811,0.3906576431,-0.1815961225,-0.887811909,0.3920381265
12,0.2706270627,0.2079207921,0.1881188119,0.3333333333,0.1703892017,-0.2415682637,-0.5396329365,0.4724291632,0.163247147,-0.2487103184,-0.5467749912,0.4652871085
13,0.3234323432,0.2409240924,0.2079207921,0.2277227723,0.4275470412,-0.0290236284,-0.3952430272,-0.0772578628,0.4204049865,-0.036165683,-0.4023850818,-0.0843999175
14,0.2871287129,0.204620462,0.1485148515,0.3597359736,0.2557806929,-0.2646518769,-0.8806698544,0.5824020052,0.2486386382,-0.2717939315,-0.887811909,0.5752599505
15,0.2541254125,0.2376237624,0.198019802,0.3102310231,0.0796237377,-0.0489231858,-0.4656323551,0.3688065321,0.0724816831,-0.0560652405,-0.4727744097,0.3616644774
16,0.3366336634,0.2739273927,0.2112211221,0.1782178218,0.485262539,0.1561912441,-0.3725229507,-0.4308948174,0.4781204844,0.1490491895,-0.3796650053,-0.4380368721
17,0.2706270627,0.2409240924,0.1452145215,0.3432343234,0.1703892017,-0.0290236284,-0.913091332,0.5146573986,0.163247147,-0.036165683,-0.9202333867,0.5075153439
18,0.2574257426,0.2376237624,0.2145214521,0.2904290429,0.0982394159,-0.0489231858,-0.3501551377,0.2736492991,0.0910973613,-0.0560652405,-0.3572971923,0.2665072444
19,0.3168316832,0.2541254125,0.2937293729,0.1353135314,0.3977996978,0.0479383535,0.1032104803,-0.828230315,0.3906576431,0.0407962988,0.0960684256,-0.8353723696
20,0.2607260726,0.2541254125,0.1584158416,0.3267326733,0.1166179452,0.0479383535,-0.78756045,0.4435743005,0.1094758906,0.0407962988,-0.7947025046,0.4364322458
21,0.2376237624,0.3267326733,0.2112211221,0.2244224422,-0.0172378015,0.4105084328,-0.3725229507,-0.0983194783,-0.0243798562,0.4033663782,-0.3796650053,-0.105461533
22,0.2904290429,0.300330033,0.2904290429,0.1188118812,0.2722688157,0.288946453,0.086908668,-1.0158573181,0.265126761,0.2818043983,0.0797666133,-1.0229993728
23,0.2772277228,0.2145214521,0.1419141914,0.3663366337,0.2051546198,-0.1964803742,-0.946258196,0.6086335468,0.1980125652,-0.2036224289,-0.9534002506,0.6014914921
24,0.1947194719,0.2475247525,0.2343234323,0.3234323432,-0.3045197536,0.0099705033,-0.2227758312,0.4289275245,-0.3116618082,0.0028284486,-0.2299178858,0.4217854699
25,0.2409240924,0.2871287129,0.300330033,0.1716171617,0.0026617559,0.2240953086,0.1352716895,-0.4853426014,-0.0044802987,0.216953254,0.1281296349,-0.4924846561
26,0.2409240924,0.2904290429,0.1485148515,0.3201320132,0.0026617559,0.2405834314,-0.8806698544,0.4141305226,-0.0044802987,0.2334413767,-0.887811909,0.4069884679
27,0.1848184818,0.2937293729,0.2640264026,0.2574257426,-0.3798078809,0.2568852437,-0.0505948558,0.0996198993,-0.3869499356,0.2497431891,-0.0577369105,0.0924778446
28,0.2574257426,0.2739273927,0.3630363036,0.1056105611,0.0982394159,0.1561912441,0.4088367628,-1.1857823196,0.0910973613,0.1490491895,0.4016947082,-1.1929243742
29,0.2607260726,0.2838283828,0.1617161716,0.2937293729,0.1166179452,0.2074165675,-0.7578131066,0.2899511114,0.1094758906,0.2002745128,-0.7649551612,0.2828090567
30,0.204620462,0.2805280528,0.2343234323,0.2805280528,-0.2329664926,0.1905427489,-0.2227758312,0.2236086166,-0.2401085472,0.1834006942,-0.2299178858,0.2164665619
31,0.2178217822,0.2574257426,0.3762376238,0.1485148515,-0.1427686836,0.0665540316,0.4603670635,-0.6939292233,-0.1499107383,0.059411977,0.4532250088,-0.7010712779
32,0.2640264026,0.2343234323,0.1551155116,0.3465346535,0.1347652919,-0.0691010677,-0.817934099,0.5284631981,0.1276232373,-0.0762431224,-0.8250761537,0.5213211434
33,0.1815181518,0.2739273927,0.2640264026,0.2805280528,-0.4058030894,0.1561912441,-0.0505948558,0.2236086166,-0.4129451441,0.1490491895,-0.0577369105,0.2164665619
34,0.2178217822,0.2541254125,0.3762376238,0.1518151815,-0.1427686836,0.0479383535,0.4603670635,-0.6622203635,-0.1499107383,0.0407962988,0.4532250088,-0.6693624182
35,0.2376237624,0.2112211221,0.1947194719,0.3564356436,-0.0172378015,-0.2188481872,-0.4898799013,0.5691051826,-0.0243798562,-0.2259902419,-0.497021956,0.5619631279
